temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,event_datetime,event_latitude,event_longitude,time,state,county,caused_power_outage,event_type
-6.1,-17.4,41,0,0,0,0,6.5,16.6,84,85,10.1,979.1,0,0,0,0,-0.5,0.7,3.5,9,0.298,0.289,0.298,0.218,03/02/14 4:24,37.2435967,-97.4792142,03/02/14 4:00,new jersey,eastern monmouth,0,heavy_snow
-7.9,-10,85,0,0,0,0.45,13.8,26.3,141,144,24.5,999.9,100,35,98,99,-0.9,-0.6,0.8,4.1,0.445,0.448,0.457,0.473,17/02/14 9:00,44.521282,-87.6301086,17/02/14 9:00,texas,grayson,0,heavy_snow
-6.5,-20.3,33,0,0,0,0,16.1,24.4,42,44,37.4,1020,100,0,100,15,-0.3,1.1,4.1,6.8,0.372,0.384,0.392,0.39,06/02/14 8:00,45.6070403,-122.7923499,06/02/14 8:00,utah,eastern uinta basin,0,heavy_snow
-16.9,-21,71,0,0,0,0.59,9.8,18.1,163,173,29.2,976.8,100,3,0,100,-0.9,-0.6,0.4,1.7,0.223,0.227,0.246,0.272,13/02/14 7:00,44.7807728,-71.1288763,13/02/14 7:00,kentucky,anderson,0,heavy_snow
-0.7,-1.8,93,1.3,0,0.91,0.04,13.5,24.5,42,47,27,978.2,100,72,100,79,0.9,1.6,3.7,8.7,0.447,0.455,0.489,0.483,13/02/14 3:40,35.9859998,-83.9375598,13/02/14 3:00,michigan,wayne,0,heavy_snow
-0.3,-0.4,99,1,1,0,0.01,10.2,18.1,309,314,22.7,933.9,100,100,100,100,0.3,-0.3,0.9,3.7,0.443,0.46,0.455,0.457,03/03/14 6:00,37.961175,-80.450934,03/03/14 6:00,kansas,johnson,0,heavy_snow
4.3,-6.9,44,0,0,0,0.01,12.6,18.6,114,112,40,899.1,100,5,97,100,2.4,1.3,1.9,4.3,0.462,0.464,0.474,0.496,06/03/14 20:00,35.8875402,-82.3035673,06/03/14 20:00,idaho,northern panhandle,0,heavy_snow
-6.4,-14.1,55,0,0,0,0.46,5.5,7,148,145,12.6,980.1,68,6,1,65,-2,-1.6,-0.3,1.7,0.345,0.341,0.325,0.348,04/03/14 20:55,43.2677179,-91.8563139,04/03/14 20:00,wyoming,snowy range,0,heavy_snow
5.1,-5.1,48,0,0,0,0,16.9,25.9,52,52,41.8,987,100,15,100,100,5.7,5.3,7.2,8.8,0.453,0.46,0.48,0.492,06/03/14 20:00,35.4255632,-82.1622042,06/03/14 20:00,kansas,hamilton,0,heavy_snow
1.1,1,100,0.3,0.3,0,0.01,12.4,20.7,343,347,23.8,1002.6,100,100,100,91,0.8,-0.6,1.4,7.5,0.421,0.415,0.39,0.383,02/02/14 17:00,38.0535355,-85.3168523,02/02/14 17:00,new york,niagara,0,heavy_snow
-5.1,-16.1,42,0,0,0,0.03,8.7,21.3,175,182,15.5,974,0,0,0,0,-0.5,0.7,3.4,9.3,0.214,0.226,0.195,0.167,03/02/14 4:24,39.0343606,-98.2155504,03/02/14 4:00,massachusetts,eastern hampden,0,heavy_snow
-5.4,-16.4,42,0,0,0,0.03,8,20.2,175,179,14.4,965.1,0,0,0,0,-1.2,0.2,3,8.7,0.195,0.225,0.213,0.166,03/02/14 4:24,38.6942009,-98.2149289,03/02/14 4:00,new york,western albany,0,heavy_snow
